,Item,Items sold
1,Scrambled Eggs,1
2,Cookie & Cream,1
3,Nutella Shot (4oz),1
4,Masala Chips,1
5,Extra Fudge Brownies,1
6,Luna Latte,1
7,Vanilla Syrup,1
8,Hash Browns (2pcs),1
9,White Chocolate Shot 4oz,1
10,Toast (2pcs),2
11,Bubblegum,2
12,Caramel Syrup,2
13,Seasoned Chips,2
14,Chocolate Indulgence,2
15,White Chocolate,2
16,Movenpick Strawberry,2
17,Milk Chocolate Shot 4oz,2
18,Baked Beans,2
19,Pistachio Latte (Hot),2
20,Extra Oreo,2
21,Rubicon Guava,2
22,Extra Banana,3
23,Large,3
24,Caramel,3
25,Pistachio Nuts,3
26,Snickers,3
27,Crunchie,3
28,Add Chicken,3
29,Pistachio,4
30,Hazelnut,4
31,Movenpick Swiss Chocolate,4
32,J20 Apple & Mango,4
33,Soya Milk,4
34,Brownie Delight,5
35,Veg,5
36,Mint Chocolate,5
37,J20 Apple & Raspberry,5
38,Chocolate,5
39,Movenpick Vanilla Dream,5
40,Aero Mint,6
41,Extra Strawberries,6
42,Mango,7
43,Strawberry Cheesecake,7
44,Spanish Latte (Hot),7
45,Rubicon Passion Fruit,8
46,J20 Orange & Passion,10
47,Beef,11
48,Milk Chocolate,11
49,Caramelita,11
50,Pistachio Sauce,12
51,Banana,12
52,Lotus Biscoff Dust,12
53,Kinder Bueno (White),14
54,Vanilla,15
55,Pistachio Dust,15
56,Oreo & Ferrero,16
57,Mixed Nuts,16
58,Swiss Chocolate,16
59,Ferrero Rocher,16
60,Vanilla Dream,17
61,Kinder Bueno (Milk),22
62,Lotus biscoff,22
63,Chicken,22
64,Rubicon Mango,28
65,Half,28
66,Oreo Dust,28
67,Lotus Sauce,28
68,Custard,32
69,Strawberry,32
70,Ice Cream,33
71,Regular,34
72,Oreo,37
73,Kinder,61
74,Still Water,70
75,Full,86
76,No Whipped Cream,87
77,Belgian White Chocolate,88
78,No Topping,91
79,Strawberries,95
80,Nutella,97
81,Belgian Milk Chocolate,101
82,Vanilla Ice Cream,154
83,Whipped Cream,216
84,None,484
