,Period,This Period,This Period,Last Period,Last Period
,Item,Items sold,% change,Items sold,% change
1,Mango,7,600%,1,
2,Movenpick Swiss Chocolate,4,300%,1,
3,Caramelita,11,267%,3,
4,3 Scoops Ice Cream,7,250%,2,
5,2 Scoops Ice Cream,13,225%,4,
6,Banana,12,200%,4,
7,Add Chicken,3,200%,1,
8,Extra Banana,3,200%,1,
9,Vanilla Dream,17,183%,6,
10,Pomegranate Mojito,11,175%,4,
11,Hot Chocolate,18,157%,7,
12,Brownie Delight,5,150%,2,
13,Rose Falooda,12,140%,5,
14,Blue Hawaiian Mojito,11,120%,5,
15,J20 Orange & Passion,10,100%,5,
16,Burger Bowl,8,100%,4,
17,English Tea,8,100%,4,
18,Pistachio,4,100%,2,
19,Caramel Crush Sundae,2,100%,1,
20,Chocolate Indulgence,2,100%,1,
21,Double Espresso,2,100%,1,
22,Mocha,2,100%,1,
23,Movenpick Strawberry,2,100%,1,
24,Pistachio Nuts,2,100%,1,
25,Toast (2pcs),2,100%,1,
26,Strawberry,32,78%,18,
27,Premium Shakes,65,59%,41,
28,Large,3,50%,2,
29,MangoMe Sundae,3,50%,2,
30,Oreo & Ferrero,16,45%,11,
31,Swiss Chocolate,16,45%,11,
32,Original Milk Cake,23,44%,16,
33,Kulfi Falooda,22,38%,16,
34,Mixed Nuts,15,36%,11,
35,Pistachio Dust,15,36%,11,
36,Oreo Dust,28,33%,21,
37,Fudge Brownie Sundae,16,33%,12,
38,Belgian White Chocolate (6 Pcs),8,33%,6,
39,Dubai's Kanafeh Chocolate Bar (SMALL),4,33%,3,
40,Mint Tea,4,33%,3,
41,Oreo Cheesecake,9,29%,7,
42,Beef,10,25%,8,
43,Chocoberry Swirl,5,25%,4,
44,Chocolate,5,25%,4,
45,Cornflake Tart,5,25%,4,
46,Penne Arrabiata,5,25%,4,
47,Regular,34,17%,29,
48,Seasoned Chips,7,17%,6,
49,Spanish Latte (Hot),7,17%,6,
50,Nutella Brownie French Toast,15,15%,13,
51,Extras,8,14%,7,
52,Belgian Milk Chocolate,101,13%,89,
53,Strawberries,95,13%,84,
54,Iced Spanish Latte,9,13%,8,
55,Lotus Sauce,28,12%,25,
56,No Whipped Cream,86,12%,77,
57,Hot Fudge Brownie,10,11%,9,
58,Kanafeh Crepe,10,11%,9,
59,South Asian Breakfast,10,11%,9,
60,Speciality Lattes,10,11%,9,
61,Belgian White Chocolate,88,10%,80,
62,Masala Chips,11,10%,10,
63,Nutella,96,8%,89,
64,Rubicon Mango,28,8%,26,
65,Bottle Drinks,19,6%,18,
66,Banana Pudding,105,3%,102,
67,Karak Chai,47,2%,46,
68,Chocopuffs,66,2%,65,
69,Sesame Noodles,13,0%,13,
70,Vanilla,13,0%,13,
71,San Sebastian Cheesecake (Milk Chocolate),11,0%,11,
72,White Chocolate Chip Cookie Dough,11,0%,11,
