Unnamed: 0,Property name,Order ID,Order time,Source,Dispatch type,Channel,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Gross sales,Tax on gross sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
5000.0,20 - Chocoberry - Cafe Cardiff,82ff4c40-03ce-4c90-a3a8-9e8a704809d3,2026-01-04 21:24:40,In store,Collection,POS,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50,0.0,8.50,0.00
4999.0,20 - Chocoberry - Cafe Cardiff,d3a27af5-d0a9-469f-8b0e-777534025bf7,2026-01-04 21:26:15,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,22.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.00,0.0,22.00,0.00
4998.0,20 - Chocoberry - Cafe Cardiff,1b209642-ee58-4d8b-b185-e21d9a6cecec,2026-01-04 21:27:48,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,9.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50,0.0,9.50,0.00
4997.0,20 - Chocoberry - Cafe Cardiff,0ac39923-9e6e-499a-8ccb-800b04a0d1d7,2026-01-04 21:29:27,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00,0.0,8.00,0.00
4996.0,20 - Chocoberry - Cafe Cardiff,c9331ce1-2da6-4da2-8087-844bafa992e8,2026-01-04 21:30:19,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,7.91,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50,0.0,9.50,0.00
4995.0,20 - Chocoberry - Cafe Cardiff,52ac7247-177b-4ed0-8489-64ccd9772dee,2026-01-04 21:30:47,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,15.08,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.50,0.0,16.50,0.00
4994.0,20 - Chocoberry - Cafe Cardiff,ubereats.7E28D.urbanpiper.1045574072,2026-01-04 21:34:13,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,20.80,0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.60,0.0,21.60,0.00
4993.0,20 - Chocoberry - Cafe Cardiff,ubereats.926BE.urbanpiper.1045574324,2026-01-04 21:35:43,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,29.15,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.15,0.0,29.15,0.00
4992.0,20 - Chocoberry - Cafe Cardiff,9ec62bb3-5dab-44ef-b24f-c5a871804b6e,2026-01-04 21:38:51,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,7.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50,0.0,7.50,0.00
4991.0,20 - Chocoberry - Cafe Cardiff,deliveroo.0415.urbanpiper.1045575538,2026-01-04 21:42:13,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,9.50,1.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.20,0.0,11.20,0.00
4990.0,20 - Chocoberry - Cafe Cardiff,73981420-c927-49e7-85fd-6dc9bd2e7a90,2026-01-04 21:44:41,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,7.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50,0.0,7.50,0.00
4989.0,20 - Chocoberry - Cafe Cardiff,c7de6e2e-fbae-40df-b2c2-f486393d9488,2026-01-04 21:49:09,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,9.58,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,9.75,0.00
4988.0,20 - Chocoberry - Cafe Cardiff,61c6702a-2336-43a1-b66c-53038fe5ee2d,2026-01-04 21:49:59,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,9.58,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,9.75,0.00
4987.0,20 - Chocoberry - Cafe Cardiff,ff4326e7-8931-4365-9676-2ef183ad19d7,2026-01-04 21:50:48,In store,Dine In,POS,Chocoberry Cardiff,POS,Cash,No,,7.91,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50,0.0,9.50,0.00
4986.0,20 - Chocoberry - Cafe Cardiff,240fc4c6-0cdc-4f89-9cc4-36fc82a6506b,2026-01-04 21:52:55,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,3.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00,0.0,4.00,0.00
4985.0,20 - Chocoberry - Cafe Cardiff,9e36e7af-854e-4c88-8338-92dc10717bb0,2026-01-04 21:53:29,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00,0.0,8.00,0.00
4984.0,20 - Chocoberry - Cafe Cardiff,8f45ae6e-4978-4cf2-8237-e7c0093b346a,2026-01-04 21:54:01,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,7.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00,0.0,8.00,0.00
4983.0,20 - Chocoberry - Cafe Cardiff,9bd42a88-1172-4961-a3da-3d6966a439dd,2026-01-04 21:54:59,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,6.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00,0.0,6.00,0.00
4982.0,20 - Chocoberry - Cafe Cardiff,6e320e30-5693-495a-b8b7-912eb9e52279,2026-01-04 21:55:29,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,6.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00,0.0,6.00,0.00
4981.0,20 - Chocoberry - Cafe Cardiff,69e73606-92a4-4bdd-8840-51f5e41fd1f8,2026-01-04 21:59:16,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,10.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00,0.0,10.00,0.00
4980.0,20 - Chocoberry - Cafe Cardiff,ubereats.E0D10.urbanpiper.1045578509,2026-01-04 21:59:41,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,20.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00,0.0,20.00,0.00
4979.0,20 - Chocoberry - Cafe Cardiff,7d58b65d-4825-4e41-bf98-7d3ac512517e,2026-01-04 22:01:31,In store,Take Away,POS,Chocoberry Cardiff,POS,Credit,No,,9.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50,0.0,9.50,0.00
4978.0,20 - Chocoberry - Cafe Cardiff,51cb04fe-25d7-4ee7-bdc9-2d03195ea709,2026-01-04 22:02:40,In store,Collection,POS,Chocoberry Cardiff,POS,Cash,No,,21.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.00,0.0,21.00,0.00
4977.0,20 - Chocoberry - Cafe Cardiff,f005605f-db0a-4e0e-8411-1a0f1cb2823b,2026-01-04 22:03:43,In store,Collection,POS,Chocoberry Cardiff,POS,Credit,No,,26.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.50,0.0,26.50,0.00
4976.0,20 - Chocoberry - Cafe Cardiff,81cd7334-f5b4-44f7-a500-6422e6ff8027,2026-01-04 22:04:40,In store,Take Away,POS,Chocoberry Cardiff,POS,Cash,No,,1.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50,0.0,1.50,0.00
4975.0,20 - Chocoberry - Cafe Cardiff,74855ed5-722e-4df3-96a8-3525174edd04,2026-01-04 22:11:12,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,3.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.00,0.0,4.00,0.00
4974.0,20 - Chocoberry - Cafe Cardiff,10f92ece-74bc-458b-852e-64fc4700c26f,2026-01-04 22:14:10,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00,0.0,8.00,0.00
4973.0,20 - Chocoberry - Cafe Cardiff,d371a40b-6ab9-47b2-b8f0-99305771fe25,2026-01-04 22:14:46,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50,0.0,8.50,0.00
4972.0,20 - Chocoberry - Cafe Cardiff,deliveroo.0075.urbanpiper.1045580953,2026-01-04 22:15:33,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,47.30,1.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.00,0.0,49.00,0.00
4971.0,20 - Chocoberry - Cafe Cardiff,67bd975b-35d9-44af-9df4-46dfcc519b60,2026-01-04 22:16:49,In store,Dine In,POS,Chocoberry Cardiff,POS,Credit,No,,7.08,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50,0.0,8.50,0.00
