,Property name,Order ID,Order time,Source,Dispatch type,Channel,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Gross sales,Tax on gross sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
1,20 - Chocoberry - Cafe Cardiff,ubereats.C632F.urbanpiper.1083885769,2/21/2026 2:42,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,15.3,0,0,0,0,0,0,0,0,15.3,0,15.3,0
2,20 - Chocoberry - Cafe Cardiff,deliveroo.7036.urbanpiper.1083881760,2/21/2026 2:12,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,16.56,0,0,0,0,0,0,0,0,16.56,0,16.56,-4.14
3,20 - Chocoberry - Cafe Cardiff,deliveroo.4314.urbanpiper.1083880016,2/21/2026 1:56,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,29.5,2.8,0,0,0,0,0,0,0,32.3,0,32.3,0
4,20 - Chocoberry - Cafe Cardiff,deliveroo.3943.urbanpiper.1083879924,2/21/2026 1:55,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,9.6,0,0,0,0,0,0,0,0,9.6,0,9.6,0
5,20 - Chocoberry - Cafe Cardiff,ubereats.DD92B.urbanpiper.1083877522,2/21/2026 1:32,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,18.9,0,0,0,0,0,0,0,0,18.9,0,18.9,0
6,20 - Chocoberry - Cafe Cardiff,ubereats.29A90.urbanpiper.1083873906,2/21/2026 0:56,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,25.7,0.4,0,0,0,0,0,0,0,26.1,0,26.1,0
7,20 - Chocoberry - Cafe Cardiff,deliveroo.7385.urbanpiper.1083873494,2/21/2026 0:52,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,13.2,1.36,0,0,0,0,0,0,0,14.56,0,14.56,-3.64
8,20 - Chocoberry - Cafe Cardiff,deliveroo.5312.urbanpiper.1083872806,2/21/2026 0:46,Deliveroo,Delivery,UrbanPiper,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,20.5,1.7,0,0,0,0,0,0,0,22.2,0,22.2,0
9,20 - Chocoberry - Cafe Cardiff,ubereats.5F0F3.urbanpiper.1083872595,2/21/2026 0:44,Uber Eats,Collection,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,11.7,0,0,0,0,0,0,0,0,11.7,0,11.7,0
10,20 - Chocoberry - Cafe Cardiff,ubereats.BF586.urbanpiper.1083871945,2/21/2026 0:39,Uber Eats,Delivery,UrbanPiper,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,15.39,1.16,0,0,0,0,0,0,0,16.55,0,16.55,0
