Order time,Gross sales,Tax on gross sales,Tips,Charges,Refunds,Revenue,Revenue via Flipdish,Orders
2026-02-06,162.83,1.67,0.00,0.00,0.00,164.50,104.50,10
2026-02-05,"2,036.35",75.74,0.00,5.78,0.00,"2,117.87","1,085.65",138
2026-02-04,"2,058.73",85.85,0.00,13.70,0.00,"2,158.28","1,329.40",143
2026-02-03,"2,325.20",90.86,0.00,4.54,0.00,"2,420.60","1,369.00",143
2026-02-02,"2,167.89",100.10,0.00,11.61,0.00,"2,279.60","1,360.25",160
2026-02-01,"3,224.11",117.68,0.00,10.02,0.00,"3,351.81","1,838.05",212
2026-01-31,"3,825.62",144.49,0.00,13.39,0.00,"3,983.50","2,251.52",244
2026-01-30,"2,880.35",100.81,0.00,12.75,0.00,"2,993.91","1,877.10",186
2026-01-29,"1,968.01",101.98,0.00,8.59,0.00,"2,078.58","1,058.50",134
2026-01-28,"2,402.72",111.88,0.00,0.00,0.00,"2,514.59","1,675.55",153
2026-01-27,"1,788.84",73.37,0.00,2.71,0.00,"1,864.92","1,256.85",143
2026-01-26,"1,947.63",78.24,0.00,0.00,0.00,"2,025.87","1,313.05",125
2026-01-25,"3,511.11",99.22,0.00,0.50,0.00,"3,610.83","1,928.25",241
2026-01-24,"3,425.00",124.52,0.00,0.00,0.00,"3,549.52","2,197.45",216
2026-01-23,"3,077.00",105.70,0.00,0.00,0.00,"3,182.70","1,832.55",208
2026-01-22,"1,941.86",55.35,0.00,11.34,0.00,"2,008.55","1,144.15",139
2026-01-21,"1,955.70",77.27,0.00,2.54,0.00,"2,035.51","1,060.40",144
2026-01-20,"2,206.58",79.66,0.00,10.13,0.00,"2,296.37",965.40,140
2026-01-19,"1,939.73",78.76,0.00,0.00,0.00,"2,018.49","1,057.75",136
2026-01-18,"3,027.84",124.80,0.00,0.00,0.00,"3,152.64","1,834.36",200
2026-01-17,"3,003.35",129.47,0.00,0.00,0.00,"3,132.82","2,420.03",222
2026-01-16,"2,745.00",92.76,0.00,0.00,0.00,"2,837.76","1,830.81",190
2026-01-15,"2,214.01",104.49,0.00,0.00,0.00,"2,318.50","1,375.33",165
2026-01-14,"1,808.49",73.25,0.00,3.61,0.00,"1,885.35","1,017.70",122
2026-01-13,"2,361.77",104.53,0.00,19.59,0.00,"2,485.89","1,331.45",161
